Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	52	Paragraph count, number of paragraphs
2	DESSC	READNS	194	Sentence count, number of sentences
3	DESWC	READNW	2591	Word count, number of words
4	DESPL	READAPL	3.731	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	1.941	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	13.454	Sentence length, number of words, mean
7	DESSLd	n/a	8.162	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.504	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.841	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.482	Word length, number of letters, mean
11	DESWLltd	n/a	2.405	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.152	Text Easability PC Narrativity, z score
13	PCNARp	n/a	55.960	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	0.886	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	81.060	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-1.183	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	11.900	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.864	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	19.490	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.325	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	62.550	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.422	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	66.280	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.012	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	2.220	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-0.781	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	21.770	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.140	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.342	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.197	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.079	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.223	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.112	Stem overlap, all sentences, binary, mean
