Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	8	Paragraph count, number of paragraphs
2	DESSC	READNS	9	Sentence count, number of sentences
3	DESWC	READNW	148	Word count, number of words
4	DESPL	READAPL	1.125	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.354	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	17.111	Sentence length, number of words, mean
7	DESSLd	n/a	25.551	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.547	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.950	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.912	Word length, number of letters, mean
11	DESWLltd	n/a	2.811	Word length, number of letters, standard deviation
12	PCNARz	n/a	-0.353	Text Easability PC Narrativity, z score
13	PCNARp	n/a	36.320	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-0.193	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	42.470	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-1.512	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	6.550	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-3.397	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	0.030	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	1.039	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	84.850	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-0.693	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	24.510	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.145	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	1.620	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	0.580	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	71.900	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.125	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.125	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.056	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.056	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.021	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.042	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.008	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.026	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.125	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.056	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.028	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.081	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.049	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.091	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.079	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.095	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.873	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.727	Lexical diversity, VOCD, all words
50	CNCAll	CONi	139.945	All connectives incidence
51	CNCCaus	CONCAUSi	150.772	Causal connectives incidence
52	CNCLogic	CONLOGi	81.081	Logical connectives incidence
53	CNCADC	CONADVCONi	33.784	Adversative and contrastive connectives incidence
