,EPU,SYN,Sent
2017-02-01,131.2275,131.2275,131.2275
2017-02-08,119.595,119.595,119.595
2017-02-15,87.54,87.54,87.54
2017-02-22,142.94000000000003,142.94000000000003,142.94000000000003
2017-03-01,71.17,71.17,71.17
2017-03-08,96.066,96.066,96.066
2017-03-15,145.86666666666665,145.86666666666665,145.86666666666665
2017-03-22,78.73800000000001,78.73800000000001,78.73800000000001
2017-03-29,156.34333333333333,156.34333333333333,156.34333333333333
2017-04-05,66.88333333333333,66.88333333333333,66.88333333333333
2017-04-12,89.86,89.86,89.86
2017-04-19,87.22666666666667,87.22666666666667,87.22666666666667
2017-04-26,82.10999999999999,82.10999999999999,82.10999999999999
2017-05-03,94.96333333333335,94.96333333333335,94.96333333333335
2017-05-10,82.16666666666667,82.16666666666667,82.16666666666667
2017-05-17,64.98,64.98,64.98
2017-05-24,,,
2017-05-31,168.03333333333333,168.03333333333333,168.03333333333333
2017-06-07,,,
2017-06-14,93.24,93.24,93.24
2017-06-21,91.01999999999998,91.01999999999998,91.01999999999998
2017-06-28,80.93,80.93,80.93
2017-07-05,126.675,126.675,126.675
2017-07-12,83.82,83.82,83.82
2017-07-19,73.36,73.36,73.36
2017-07-26,68.11999999999999,68.11999999999999,68.11999999999999
2017-08-02,57.38,57.38,57.38
2017-08-09,41.93,41.93,41.93
2017-08-16,,,
2017-08-23,57.525000000000006,57.525000000000006,57.525000000000006
2017-08-30,81.06666666666668,81.06666666666668,81.06666666666668
2017-09-06,74.04333333333334,74.04333333333334,74.04333333333334
2017-09-13,70.74,70.74,70.74
2017-09-20,72.04,72.04,72.04
2017-09-27,89.18,89.18,89.18
2017-10-04,57.724999999999994,57.724999999999994,57.724999999999994
2017-10-11,37.61,37.61,37.61
2017-10-18,70.54,70.54,70.54
2017-10-25,67.46666666666667,67.46666666666667,67.46666666666667
2017-11-01,76.005,76.005,76.005
2017-11-08,65.11,65.11,65.11
2017-11-15,91.20500000000001,91.20500000000001,91.20500000000001
2017-11-22,31.11,31.11,31.11
2017-11-29,98.46000000000001,98.46000000000001,98.46000000000001
2017-12-06,62.85999999999999,62.85999999999999,62.85999999999999
2017-12-13,57.495000000000005,57.495000000000005,57.495000000000005
2017-12-20,92.94,92.94,92.94
2017-12-27,111.2,111.2,111.2
2018-01-03,151.17,151.17,151.17
2018-01-10,86.645,86.645,86.645
2018-01-17,84.162,84.162,84.162
2018-01-24,89.25,89.25,89.25
2018-01-31,92.59,92.59,92.59
2018-02-07,82.78200000000001,82.78200000000001,82.78200000000001
2018-02-14,80.15,80.15,80.15
2018-02-21,56.802499999999995,56.802499999999995,56.802499999999995
2018-02-28,108.83500000000001,108.83500000000001,108.83500000000001
2018-03-07,109.10000000000001,109.10000000000001,109.10000000000001
2018-03-14,95.13999999999999,95.13999999999999,95.13999999999999
2018-03-21,89.77,89.77,89.77
2018-03-28,26.48,26.48,26.48
2018-04-04,113.7075,113.7075,113.7075
2018-04-11,95.58999999999999,95.58999999999999,95.58999999999999
2018-04-18,57.224999999999994,57.224999999999994,57.224999999999994
2018-04-25,105.28,105.28,105.28
2018-05-02,84.64,84.64,84.64
2018-05-09,89.22666666666667,89.22666666666667,89.22666666666667
2018-05-16,83.33,83.33,83.33
2018-05-23,,,
2018-05-30,84.10333333333334,84.10333333333334,84.10333333333334
2018-06-06,77.44333333333334,77.44333333333334,77.44333333333334
2018-06-13,88.02,88.02,88.02
2018-06-20,63.53,63.53,63.53
2018-06-27,80.26,80.26,80.26
2018-07-04,,,
2018-07-11,,,
2018-07-18,76.855,76.855,76.855
2018-07-25,,,
2018-08-01,87.82000000000001,87.82000000000001,87.82000000000001
2018-08-08,55.18,55.18,55.18
2018-08-15,20.08,20.08,20.08
2018-08-22,38.52,38.52,38.52
2018-08-29,,,
2018-09-05,47.25,47.25,47.25
2018-09-12,71.72,71.72,71.72
2018-09-19,89.13,89.13,89.13
2018-09-26,,,
2018-10-03,107.49,107.49,107.49
2018-10-10,,,
2018-10-17,,,
2018-10-24,64.23,64.23,64.23
2018-10-31,,,
2018-11-07,,,
2018-11-14,,,
2018-11-21,93.08,93.08,93.08
2018-11-28,,,
2018-12-05,,,
2018-12-12,103.24,103.24,103.24
2018-12-19,,,
2018-12-26,,,
2019-01-02,148.61,148.61,148.61
2019-01-09,,,
2019-01-16,,,
2019-01-23,73.71,73.71,73.71
2019-01-30,,,
2019-02-06,,,
2019-02-13,,,
2019-02-20,,,
2019-02-27,,,
2019-03-06,161.35,161.35,161.35
2019-03-13,,,
2019-03-20,,,
2019-03-27,,,
2019-04-03,,,
2019-04-10,,,
2019-04-17,,,
2019-04-24,,,
2019-05-01,,,
2019-05-08,,,
2019-05-15,,,
2019-05-22,,,
2019-05-29,,,
2019-06-05,,,
2019-06-12,,,
2019-06-19,,,
2019-06-26,,,
2019-07-03,,,
2019-07-10,,,
2019-07-17,,,
2019-07-24,,,
2019-07-31,,,
2019-08-07,109.59,109.59,109.59
2019-08-14,,,
2019-08-21,,,
2019-08-28,,,
2019-09-04,65.235,65.235,65.235
2019-09-11,,,
2019-09-18,,,
2019-09-25,60.07,60.07,60.07
2019-10-02,165.35,165.35,165.35
2019-10-09,107.505,107.505,107.505
2019-10-16,156.8,156.8,156.8
2019-10-23,,,
2019-10-30,,,
2019-11-06,127.43,127.43,127.43
2019-11-13,53.75,53.75,53.75
2019-11-20,,,
2019-11-27,,,
2019-12-04,,,
2019-12-11,,,
2019-12-18,,,
2019-12-25,101.31,101.31,101.31
2020-01-01,,,
2020-01-08,74.58,74.58,74.58
2020-01-15,,,
2020-01-22,,,
2020-01-29,132.125,132.125,132.125
2020-02-05,111.39,111.39,111.39
2020-02-12,,,
2020-02-19,,,
2020-02-26,132.55,132.55,132.55
2020-03-04,204.016,204.016,204.016
2020-03-11,351.7725,351.7725,351.7725
2020-03-18,569.6014285714285,569.6014285714285,569.6014285714285
2020-03-25,471.69399999999996,471.69399999999996,471.69399999999996
2020-04-01,538.9637499999999,538.9637499999999,538.9637499999999
2020-04-08,457.236,457.236,457.236
2020-04-15,557.1971428571427,557.1971428571427,557.1971428571427
2020-04-22,575.5699999999999,575.5699999999999,575.5699999999999
2020-04-29,516.72,516.72,516.72
2020-05-06,489.1875,489.1875,489.1875
2020-05-13,374.22,374.22,374.22
2020-05-20,417.1133333333333,417.1133333333333,417.1133333333333
2020-05-27,324.395,324.395,324.395
2020-06-03,302.905,302.905,302.905
2020-06-10,237.88,237.88,237.88
2020-06-17,352.8633333333334,352.8633333333334,352.8633333333334
2020-06-24,295.44,295.44,295.44
2020-07-01,324.53499999999997,324.53499999999997,324.53499999999997
2020-07-08,275.02599999999995,275.02599999999995,275.02599999999995
2020-07-15,396.0675,396.0675,396.0675
2020-07-22,371.50333333333333,371.50333333333333,371.50333333333333
2020-07-29,349.11,349.11,349.11
2020-08-05,362.75200000000007,362.75200000000007,362.75200000000007
2020-08-12,345.172,345.172,345.172
2020-08-19,270.8533333333333,270.8533333333333,270.8533333333333
2020-08-26,169.1,169.1,169.1
2020-09-02,230.51333333333332,230.51333333333332,230.51333333333332
2020-09-09,213.82,213.82,213.82
2020-09-16,214.9475,214.9475,214.9475
2020-09-23,241.59333333333333,241.59333333333333,241.59333333333333
2020-09-30,259.5,259.5,259.5
2020-10-07,,,
2020-10-14,,,
2020-10-21,,,
2020-10-28,,,
2020-11-04,,,
2020-11-11,,,
2020-11-18,227.425,227.425,227.425
2020-11-25,,,
2020-12-02,156.7,156.7,156.7
